feature,y0,y1,y2
Use CaseType (Input 1),8.096666666666666,12.82,7.919999999999999
LTE/5G UE Category (Input 2),0.44,0.3,0.47000000000000003
Technology Supported (Input 3),1.8233333333333335,46.14666666666667,38.46
Day (Input4),0.09999999999999999,0.20666666666666667,0.09000000000000001
Time (Input 5),0.20333333333333334,0.29000000000000004,0.21666666666666667
QCI (Input 6),0.18666666666666668,0.26,0.19666666666666668
Packet Loss Rate (Reliability),56.45666666666667,14.689999999999998,3.823333333333333
Packet Delay Budget (Latency),13.506666666666668,3.9233333333333333,24.19333333333333
