feature,y0,y1,y2
Use CaseType (Input 1),5.349999999999999,38.913333333333334,10.706666666666669
LTE/5G UE Category (Input 2),8.726666666666667,12.33,1.57
Technology Supported (Input 3),0.25,1.7666666666666668,3.78
Day (Input4),2.183333333333333,1.8366666666666667,0.12
Time (Input 5),4.086666666666667,4.336666666666666,1.4233333333333331
QCI (Input 6),1.5333333333333332,6.28,2.8466666666666662
Packet Loss Rate (Reliability),52.88666666666666,10.41,10.506666666666666
Packet Delay Budget (Latency),6.489999999999999,4.46,42.653333333333336
