feature,y0,y1,y2
Use CaseType (Input 1),6.776666666666666,14.979999999999999,9.793333333333333
LTE/5G UE Category (Input 2),0.52,0.26666666666666666,0.9966666666666667
Technology Supported (Input 3),1.4000000000000001,40.03,30.909999999999997
Day (Input4),0.06,0.11333333333333334,0.17666666666666667
Time (Input 5),0.13333333333333333,0.21000000000000005,0.59
QCI (Input 6),0.19666666666666666,0.13333333333333333,0.47000000000000003
Packet Loss Rate (Reliability),51.583333333333336,20.203333333333333,7.240000000000001
Packet Delay Budget (Latency),13.953333333333333,4.8566666666666665,25.676666666666666
