feature,y0,y1,y2,y3,y4,y5
frame.len,1.0599999999999998,4.876666666666667,3.0366666666666666,4.346666666666667,1.9933333333333332,3.809999999999999
eth.src,2.6799999999999997,7.096666666666667,3.556666666666667,3.5733333333333337,0.2833333333333334,0.23333333333333336
eth.dst,6.026666666666666,2.3966666666666665,1.6766666666666667,1.09,8.780000000000001,4.053333333333334
ip.src,0.8133333333333335,0.9400000000000001,0.16,14.56,0.35333333333333333,0.35333333333333333
ip.dst,4.363333333333333,0.02,0.15666666666666668,0.7566666666666667,0.8733333333333334,0.26333333333333336
ip.proto,0.84,0.023333333333333334,54.99333333333334,0.16666666666666666,59.803333333333335,55.49333333333333
ip.len,2.2966666666666664,5.140000000000001,2.3266666666666667,10.21,10.766666666666667,4.866666666666666
tcp.len,3.966666666666667,10.01,3.9233333333333333,2.5766666666666667,0.5033333333333333,3.263333333333333
tcp.srcport,0.6900000000000001,0.30666666666666664,2.73,26.593333333333334,0.39666666666666667,1.01
tcp.dstport,7.996666666666667,1.1366666666666667,3.6566666666666663,2.4066666666666667,1.1266666666666667,2.376666666666667
Value,38.41,46.653333333333336,0.04666666666666666,0.36000000000000004,0.04,0.17333333333333334
