feature,y0,y1,y2,y3,y4,y5
frame.len,5.573333333333333,5.400000000000001,4.63,18.150000000000002,3.8166666666666664,4.546666666666667
eth.src,0.2066666666666667,0.9,13.089999999999998,3.1300000000000003,3.1233333333333335,0.27
eth.dst,5.57,0.006666666666666667,0.7566666666666667,0.20000000000000004,1.2,0.7633333333333333
ip.src,0.0,1.2166666666666668,4.593333333333334,0.06,18.343333333333334,11.966666666666667
ip.dst,0.02,0.013333333333333334,0.0033333333333333335,0.02666666666666666,7.696666666666666,8.543333333333335
ip.proto,3.0733333333333337,0.0,23.833333333333332,0.0,24.156666666666666,10.583333333333334
ip.len,3.4800000000000004,3.5533333333333332,2.106666666666667,20.09,9.13,8.503333333333332
tcp.len,0.5866666666666667,18.666666666666668,0.0,27.436666666666667,0.0,0.18666666666666668
tcp.srcport,4.173333333333333,2.23,12.1,1.4433333333333334,0.09333333333333334,0.13333333333333333
tcp.dstport,11.673333333333332,5.193333333333333,4.453333333333333,2.08,0.25666666666666665,0.0033333333333333335
Value,53.34666666666667,45.17666666666667,27.91,0.04666666666666667,0.02,0.10333333333333333
