feature,y0,y1,y2,y3,y4,y5
frame.len,3.5033333333333334,3.8633333333333333,7.783333333333334,19.70333333333333,6.6499999999999995,0.16
eth.src,2.393333333333333,2.3866666666666667,9.366666666666667,2.41,0.6566666666666666,1.16
eth.dst,0.22999999999999998,1.2433333333333334,0.06999999999999999,0.38999999999999996,1.9299999999999997,2.78
ip.src,0.006666666666666667,0.05333333333333334,4.733333333333333,0.04,11.229999999999999,11.729999999999999
ip.dst,0.03,0.03333333333333333,0.006666666666666667,0.01,7.713333333333334,13.410000000000002
ip.proto,1.16,0.0,28.096666666666668,0.006666666666666667,26.790000000000003,15.766666666666667
ip.len,8.06,2.723333333333333,5.853333333333333,19.12,14.323333333333332,13.083333333333334
tcp.len,4.376666666666666,8.153333333333334,1.97,22.53333333333333,0.06333333333333334,0.07666666666666667
tcp.srcport,10.736666666666666,0.023333333333333334,8.43,3.3299999999999996,0.6233333333333334,0.7133333333333334
tcp.dstport,4.3566666666666665,0.0,0.043333333333333335,1.32,0.5833333333333334,0.35000000000000003
Value,40.913333333333334,65.07333333333334,29.823333333333334,0.03333333333333333,0.02,0.03333333333333333
