feature,y0,y1,y2,y3,y4,y5
frame.len,0.04253581122962651,0.050459295903024344,0.009029321597024059,0.014828667581310212,0.011685859941598119,0.015097761333041087
eth.src,0.011813048952918792,0.0379452392833025,0.027211675368269392,0.020267693868275767,0.009219292710029121,0.009877118084053699
eth.dst,0.023799055601700113,0.006707640506622567,0.008591342019800267,0.0038357915405691514,0.030216550623198817,0.011707179627741121
ip.src,0.006616043457739003,0.010842377227999063,0.0116446862924862,0.026474620192942565,0.017758694946096037,0.013709604833078499
ip.dst,0.002609747335997217,0.007003606189324068,0.005771728695625158,0.0015026699572447254,0.006134858059832615,0.0067391924653757845
ip.proto,0.05383374447142926,0.006438902619111399,0.02323902763146151,0.05778950047807855,0.057404426515977026,0.026885744258716954
ip.len,0.022250074518190558,0.04942189391419032,0.01574878979425513,0.012611412208093965,0.025095213308826872,0.02698216216769419
tcp.len,0.02223148057670099,0.060093916756486364,0.018117668446663262,0.022480751160722064,0.006510073946897784,0.003663347319038012
tcp.srcport,0.05300340759104841,0.0037094070938414434,0.03425250194609398,0.044890237870640455,0.023758088864005662,0.038383722144377394
tcp.dstport,0.06782069444482473,0.009373527137404214,0.014114908805038691,0.01678814796913959,0.00905181093649681,0.016143317530009256
Value,0.0011398372584934542,0.0005060647574755411,0.0007674078822269758,0.0013312541019424313,0.0005603057069454004,0.0009898956676347086
