feature,y0,y1,y2,y3,y4,y5
frame.len,0.08785855927329835,0.06769460608622538,0.04847529002419238,0.03226985313338888,0.027597942107305016,0.028188625503763626
eth.src,0.028208015394693364,0.04436363244403227,0.031613944375427305,0.049099909141227874,0.038180553691545986,0.04235516269142235
eth.dst,0.03743678969949543,0.008416958639452172,0.016056553857783193,0.012747709067198056,0.08375387383914923,0.07739572673504252
ip.src,0.013332163112314709,0.028460223531142064,0.07572042376923402,0.045264673628610884,0.052595591274829864,0.03113924173154277
ip.dst,0.007297703916047778,0.0040116003172008,0.018242088572753983,0.006363237100847016,0.013219274851238598,0.009706294974553211
ip.proto,0.11437703842610655,0.015743120030198666,0.04697698094707901,0.06814863615820217,0.07849134266164831,0.04022134094279938
ip.len,0.05549223174502262,0.04316070333751222,0.06318322814879246,0.04027549639087072,0.03434515645331053,0.054988238169627945
tcp.len,0.02094934275742976,0.10346262217507918,0.05992443826318273,0.056895874335252915,0.012503694251729005,0.021929993372273335
tcp.srcport,0.09381229195841911,0.004403352724801365,0.1223370895309395,0.08793981953056793,0.02178397671686054,0.032015577443877605
tcp.dstport,0.08030370315788725,0.012547240057797235,0.027619427936603484,0.020634216614042897,0.00912912340901418,0.015665897278376764
Value,0.0066569017009641285,0.002767443921549744,0.007345735037499182,0.006072636964589316,0.003798087895559081,0.004266931140312733
