feature,y0,y1,y2,y3,y4,y5
frame.len,0.05873001265338333,0.055396488812027474,0.05591639192821087,0.04005478809754322,0.06323757393423747,0.03785614944153516
eth.src,0.07925885263126962,0.040303625795392886,0.04353161914754489,0.058352570427996756,0.08864875486806044,0.07664383748261955
eth.dst,0.08752535009788401,0.016856283056307295,0.02535846222574332,0.027639108900788807,0.08472902386326775,0.07467163940327079
ip.src,0.022560417091914028,0.038150362818820484,0.07381425527283154,0.052420169983504544,0.06928045839972327,0.026067925372812696
ip.dst,0.010489088964582572,0.004739460850692994,0.017799030402717207,0.008802800955214417,0.017041165528595397,0.007173577693872695
ip.proto,0.15088003476261558,0.015473463544086801,0.05909753259855857,0.05498884856938524,0.0772037092694176,0.04801845829766221
ip.len,0.09155524429596626,0.04787972637121031,0.06168116671896769,0.046116209060661564,0.025786608030233717,0.04776428423542973
tcp.len,0.018485791877531015,0.07324307185994715,0.05082138208471466,0.049109654726000276,0.011449304283084567,0.01006973675659466
tcp.srcport,0.043379157142542264,0.022025999792853457,0.1308072120493545,0.08186493182404415,0.02046683023227451,0.021982314836905634
tcp.dstport,0.053172174870592157,0.0070610038669103635,0.026929087747073765,0.01905641889357865,0.01072868239165591,0.011321806441552498
Value,0.009762268672663657,0.004847251496138923,0.009881620847905682,0.008167213683399854,0.008935447851402881,0.005775334522312725
