feature,y0,y1,y2,y3,y4,y5
frame.len,0.0888689238246717,0.06819701454466105,0.049681572788722324,0.03245611732732399,0.02838785523660707,0.02825526607932893
eth.src,0.030492994913791534,0.04381830575193645,0.031058966013406783,0.049692057740152736,0.044914018583406615,0.0470483168862284
eth.dst,0.04099345270524005,0.008868970326267503,0.016804360742836567,0.01347683570807741,0.08856644093296057,0.08099950030110421
ip.src,0.013810159337819468,0.028823278288527834,0.07616751233329189,0.04568618894186877,0.054628149902949924,0.02930569115360286
ip.dst,0.007851954537337965,0.003788616732691811,0.018499226103595383,0.006458119437491722,0.01374488744633643,0.009332276685045115
ip.proto,0.11742260330399369,0.01577112324955655,0.04697906413888959,0.06697828296114346,0.07862845925876598,0.04166531034312805
ip.len,0.05790260970619751,0.04281945595920195,0.06404872005438761,0.040839645228967485,0.033695821943954554,0.05456067945100557
tcp.len,0.020807462894333235,0.10236598435281458,0.06014290399744681,0.056967711314241914,0.01243822364554769,0.022282104562501
tcp.srcport,0.09465717464071866,0.004044587483855283,0.12564860900472544,0.08829982128700177,0.021715167843463442,0.03112430946594813
tcp.dstport,0.07794037702134102,0.011921621025594293,0.02807659222772362,0.020244441617491248,0.009101737599850852,0.015294257623075245
Value,0.00670669910035574,0.002628620135339123,0.007924908295448634,0.006341870285937264,0.004306933474566568,0.004244753488287948
