feature,y0,y1,y2,y3,y4,y5
frame.len,0.07175572712611697,0.06237589564780342,0.05735434704641295,0.03478404787949553,0.04283413906988458,0.036398359432984626
eth.src,0.06146250572213313,0.04352724594485003,0.03683644382130245,0.055769758472523315,0.07815379284398553,0.0691346773629591
eth.dst,0.08007338768477834,0.01279389723358751,0.022138140317901945,0.02147060015165577,0.09788798608855251,0.07703330387140811
ip.src,0.016787281166359382,0.0306561611125146,0.07308953169617767,0.04482729208053245,0.06164998492178901,0.02334318462097105
ip.dst,0.009625211629750663,0.003155916743942046,0.01892593227042426,0.008170713011403671,0.014475839324974964,0.008198461122521435
ip.proto,0.1376725687497268,0.016242128835989255,0.05460059552563519,0.060367489554896556,0.07588806035882045,0.04847305319920088
ip.len,0.08284056025526108,0.0466981909645881,0.07058423487254901,0.0442680827132806,0.02520879417021326,0.05590347211204755
tcp.len,0.017743792331020095,0.08661848397122635,0.058808973483526074,0.05269368232143784,0.008480355277909026,0.013606476567477706
tcp.srcport,0.07540207246837248,0.008007979841442258,0.13532076085999306,0.08498296595280623,0.018514928987561737,0.01972653188009769
tcp.dstport,0.059832563868388075,0.007240313353717713,0.027800644982032226,0.019223966594195084,0.008318606423023742,0.012321891446142317
Value,0.008437150994171787,0.0025331167695820424,0.010059128588548696,0.007821752954732033,0.006240259178638152,0.004970183062837518
