feature,y0,y1,y2
Use CaseType (Input 1),0.04827307502274251,0.0907533123123849,0.048439999712044005
LTE/5G UE Category (Input 2),0.03472093815906916,0.04101463809668696,0.01718520252316876
Technology Supported (Input 3),0.022552432589652498,0.04021558653165279,0.017814467825452842
Day (Input4),0.02574105451857901,0.022122579417038952,0.009624428133655884
Time (Input 5),0.027622080781351466,0.027295847720256942,0.014972589293707922
QCI (Input 6),0.02130757908125614,0.03241996840505643,0.017432079783124742
Packet Loss Rate (Reliability),0.08520513979005521,0.013508992802880752,0.07198781452882824
Packet Delay Budget (Latency),0.09566906621632515,0.04467095599506004,0.05099810876145098
