feature,y0,y1,y2
Use CaseType (Input 1),0.12980594570008805,0.14756418591333706,0.21312371192533242
LTE/5G UE Category (Input 2),0.02641501492464099,0.023077637215654232,0.02352951047862754
Technology Supported (Input 3),0.09211928544633669,0.18126082276891972,0.0893536923442651
Day (Input4),0.022563053294033263,0.01938919073390103,0.016652934649925927
Time (Input 5),0.023904632138496335,0.022405193705242327,0.019498783821054348
QCI (Input 6),0.02220582940139315,0.02036350831831468,0.02022015130722056
Packet Loss Rate (Reliability),0.20708766834977485,0.027721256457697272,0.21621745857750752
Packet Delay Budget (Latency),0.10771504818406909,0.03938112607102659,0.08307827528264361
