feature,y0,y1,y2
Use CaseType (Input 1),0.1203279301805758,0.1490914620636353,0.20579457100884482
LTE/5G UE Category (Input 2),0.02619585031184708,0.025321368108380607,0.02420843989923381
Technology Supported (Input 3),0.08595252416235728,0.1697351604461525,0.08398929176794465
Day (Input4),0.023558774634334263,0.021678678593590364,0.017017954697982923
Time (Input 5),0.02411104280016035,0.024782157123106476,0.020311421710131738
QCI (Input 6),0.023579964338979124,0.02231136027482274,0.02120216203323029
Packet Loss Rate (Reliability),0.1985620671965412,0.026117240294301215,0.20806841884791064
Packet Delay Budget (Latency),0.10884261826226597,0.03855770694294521,0.08787088211464388
