feature,y0,y1,y2
Use CaseType (Input 1),0.14686897244908437,0.1071363664362409,0.19800158803677004
LTE/5G UE Category (Input 2),0.022991299630049148,0.012706125900434816,0.019336308278669282
Technology Supported (Input 3),0.09258205076927879,0.2424004155788808,0.15019644644546656
Day (Input4),0.018034264064201038,0.01075969707764988,0.01564463555776063
Time (Input 5),0.019997957709293086,0.01245894873951005,0.016079219405086054
QCI (Input 6),0.018566620073344774,0.010676570656723821,0.017750925300112474
Packet Loss Rate (Reliability),0.28227367749470134,0.031749221644318024,0.28720800318813156
Packet Delay Budget (Latency),0.12123094070061143,0.03169630308963833,0.10386783666291946
